epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4851.47,1.34701,0.95166,0.91467,0.98546,0.99082,0.98698,0.64798,1.20353,0.50954,0.89239,0.000276902,0.000276902,0.000276902
2,9489.9,1.23307,0.51589,0.88936,0.98577,0.99312,0.98875,0.67517,1.15949,0.48115,0.8845,0.000546725,0.000546725,0.000546725
3,14063,1.19715,0.48859,0.88536,0.98757,0.99385,0.98959,0.68368,1.14271,0.45312,0.88299,0.000808695,0.000808695,0.000808695
4,19502.3,1.16356,0.47198,0.87973,0.98764,0.99309,0.9895,0.69164,1.09786,0.44312,0.87726,0.000797657,0.000797657,0.000797657
5,25315.6,1.14509,0.46556,0.8769,0.98673,0.99331,0.98923,0.70324,1.08646,0.44496,0.87595,0.000785876,0.000785876,0.000785876
6,29811.1,1.1202,0.4528,0.87275,0.98828,0.99357,0.99103,0.71044,1.06753,0.43062,0.87154,0.000774095,0.000774095,0.000774095
7,34266.6,1.10019,0.44429,0.8711,0.98549,0.99142,0.98972,0.71896,1.03841,0.41796,0.86989,0.000762314,0.000762314,0.000762314
8,38809.4,1.08173,0.43557,0.86832,0.98762,0.99355,0.98935,0.72349,1.04553,0.41815,0.86902,0.000750533,0.000750533,0.000750533
9,43504.8,1.06891,0.4333,0.86627,0.98631,0.99147,0.99003,0.71984,1.03518,0.41197,0.86933,0.000738752,0.000738752,0.000738752
10,47800.9,1.0579,0.4301,0.86461,0.98704,0.99359,0.99006,0.72445,1.02349,0.40944,0.86911,0.000726971,0.000726971,0.000726971
11,52380,1.04908,0.42422,0.86349,0.98831,0.99309,0.98972,0.72806,1.02114,0.4082,0.86709,0.00071519,0.00071519,0.00071519
12,56958.2,1.03624,0.41766,0.86287,0.98806,0.99376,0.98962,0.73385,1.00146,0.40713,0.86568,0.000703409,0.000703409,0.000703409
13,61539.9,1.01769,0.4117,0.86068,0.98652,0.99243,0.98903,0.73351,0.9996,0.40306,0.86545,0.000691628,0.000691628,0.000691628
14,66072.6,1.01503,0.41007,0.86165,0.98745,0.99423,0.98946,0.73543,1.00401,0.40239,0.86705,0.000679847,0.000679847,0.000679847
15,70651,1.00778,0.40818,0.85922,0.98594,0.99294,0.98853,0.73488,0.9981,0.40126,0.86647,0.000668066,0.000668066,0.000668066
16,75240.6,0.99349,0.40507,0.85588,0.98821,0.99383,0.99,0.73764,0.99483,0.39178,0.86684,0.000656285,0.000656285,0.000656285
17,79814.6,0.97848,0.39707,0.85624,0.98689,0.99159,0.98869,0.74764,0.98473,0.3859,0.86535,0.000644504,0.000644504,0.000644504
18,84247.9,0.97751,0.39745,0.85465,0.98797,0.99329,0.98939,0.73168,0.99998,0.39159,0.86733,0.000632723,0.000632723,0.000632723
19,88828.5,0.96598,0.39444,0.85315,0.98816,0.99337,0.9905,0.73709,0.98269,0.38812,0.86457,0.000620942,0.000620942,0.000620942
20,93408.1,0.96105,0.39198,0.85277,0.98775,0.99377,0.99031,0.74126,0.97279,0.38765,0.86459,0.000609161,0.000609161,0.000609161
21,97982.4,0.95851,0.39046,0.85299,0.9872,0.99195,0.98992,0.73996,0.96671,0.3786,0.8631,0.00059738,0.00059738,0.00059738
22,102556,0.9461,0.38719,0.85082,0.98722,0.99294,0.98988,0.74497,0.96603,0.37927,0.8644,0.000585599,0.000585599,0.000585599
23,107057,0.93609,0.3833,0.85145,0.98608,0.99061,0.98902,0.73651,0.96079,0.38073,0.86401,0.000573818,0.000573818,0.000573818
24,112278,0.9334,0.38096,0.84982,0.98625,0.99203,0.98907,0.74318,0.96675,0.37782,0.86458,0.000562037,0.000562037,0.000562037
25,116989,0.91631,0.37674,0.84798,0.98683,0.99173,0.98897,0.73883,0.96663,0.37556,0.86589,0.000550256,0.000550256,0.000550256
26,121515,0.91121,0.37362,0.84762,0.98553,0.99117,0.98915,0.73475,0.97216,0.37515,0.86698,0.000538475,0.000538475,0.000538475
27,126104,0.91466,0.37617,0.84819,0.98739,0.99222,0.99042,0.73917,0.95976,0.3699,0.86599,0.000526694,0.000526694,0.000526694
28,131558,0.90576,0.37278,0.84854,0.98444,0.99057,0.98781,0.73239,0.97731,0.38008,0.86675,0.000514913,0.000514913,0.000514913
29,137343,0.89631,0.37055,0.84523,0.98497,0.99009,0.98839,0.73531,0.97204,0.37466,0.86893,0.000503132,0.000503132,0.000503132
30,143098,0.88776,0.36609,0.84562,0.98449,0.98822,0.98782,0.73655,0.96647,0.37183,0.86843,0.000491351,0.000491351,0.000491351
31,148881,0.87262,0.36124,0.84364,0.98577,0.99063,0.98825,0.73783,0.96985,0.37443,0.86991,0.00047957,0.00047957,0.00047957
32,154697,0.86689,0.35916,0.84388,0.98397,0.9873,0.98678,0.73832,0.96749,0.37008,0.86925,0.000467789,0.000467789,0.000467789
33,160512,0.85689,0.35713,0.84208,0.98855,0.99347,0.98984,0.73648,0.96631,0.36819,0.86893,0.000456008,0.000456008,0.000456008
34,166325,0.85202,0.35438,0.84271,0.98915,0.99053,0.99052,0.73781,0.955,0.36197,0.8676,0.000444227,0.000444227,0.000444227
35,172183,0.85057,0.35315,0.84185,0.98569,0.99219,0.98837,0.74169,0.95163,0.36142,0.86737,0.000432446,0.000432446,0.000432446
